Tenor,12M,24M,36M,60M,84M,120M,180M,240M,300M,360M
1M,2.04,1.88,1.81,1.81,1.88,1.99,2.13,2.19,2.22,2.23
2M,2.00,1.85,1.80,1.80,1.87,1.99,2.13,2.19,2.22,2.23
3M,1.92,1.80,1.75,1.79,1.81,1.97,2.06,2.15,2.17,2.17
6M,1.85,1.74,1.75,1.79,1.84,1.95,2.09,2.15,2.17,2.20
9M,1.76,1.73,1.72,1.79,1.88,2.00,2.14,2.20,2.22,2.23
12M,1.71,1.68,1.71,1.75,1.84,2.00,2.10,2.16,2.18,2.21
18M,1.70,1.70,1.73,1.83,1.92,2.05,2.17,2.22,2.24,2.24
24M,1.66,1.70,1.74,1.84,1.92,2.05,2.15,2.22,2.23,2.21
36M,1.72,1.78,1.81,1.95,2.03,2.13,2.21,2.26,2.24,2.23
60M,1.96,2.00,2.05,2.17,2.20,2.28,2.32,2.32,2.29,2.27
84M,2.18,2.21,2.25,2.31,2.32,2.35,2.35,2.36,2.34,2.30
120M,2.41,2.42,2.43,2.43,2.42,2.40,2.41,2.39,2.33,2.28
180M,2.42,2.43,2.43,2.44,2.42,2.40,2.37,2.33,2.29,2.25
240M,2.36,2.36,2.36,2.35,2.34,2.33,2.28,2.24,2.20,2.16
360M,2.18,2.17,2.17,2.16,2.15,2.13,2.09,2.05,1.93,1.83
