Tenor,12M,24M,36M,60M,84M,120M,180M,240M,300M,360M
1M,74.6,79.6,85.4,56.8,60.7,68.7,57.3,58.0,60.4,56.1
3M,35.6,72.6,82.9,60.4,63.9,69.1,59.7,59.0,58.5,57.9
6M,70.7,79.4,79.0,60.8,68.7,65.5,64.1,62.8,62.3,61.6
9M,56.8,64.6,65.6,69.2,69.4,66.1,65.4,64.9,64.2,63.6
12M,71.1,72.0,75.0,71.3,69.6,65.8,64.7,61.7,61.0,65.6
24M,70.9,77.2,77.2,75.9,76.9,74.7,63.0,70.4,60.0,68.5
36M,76.0,77.4,76.2,77.0,76.2,75.1,62.2,57.1,59.3,69.4
60M,81.8,80.8,79.7,77.7,76.4,74.7,71.8,68.9,68.3,68.2
84M,71.1,78.3,77.6,76.1,76.0,73.0,71.6,68.0,67.3,66.6
120M,76.3,72.3,72.8,72.5,73.1,71.9,68.0,66.0,64.9,62.8
180M,69.0,67.2,65.8,63.1,63.5,63.9,60.6,57.8,56.4,56.0
240M,63.3,61.5,60.3,58.0,58.2,57.0,55.4,52.4,52.5,51.9
360M,57.8,55.4,56.4,54.1,54.6,52.9,53.3,52.4,52.0,51.9
